Date,  Value  ,Frequency
1/1/1966," 329,319.00 ",Annually
1/1/1967," 344,663.00 ",Annually
1/1/1968," 358,029.00 ",Annually
1/1/1969," 368,226.00 ",Annually
1/1/1970," 389,158.00 ",Annually
1/1/1971," 424,131.00 ",Annually
1/1/1972," 448,473.00 ",Annually
1/1/1973," 469,073.00 ",Annually
1/1/1974," 492,664.00 ",Annually
1/1/1975," 576,649.00 ",Annually
1/1/1976," 653,543.00 ",Annually
1/1/1977," 718,943.00 ",Annually
1/1/1978," 789,207.00 ",Annually
1/1/1979," 845,116.00 ",Annually
1/1/1980," 930,210.00 ",Annually
1/1/1981," 1,028,729.00 ",Annually
1/1/1982," 1,197,074.00 ",Annually
1/1/1983," 1,410,702.00 ",Annually
1/1/1984," 1,662,966.00 ",Annually
1/1/1985," 1,945,942.00 ",Annually
1/1/1986," 2,214,835.00 ",Annually
1/1/1987," 2,431,715.00 ",Annually
1/1/1988," 2,684,392.00 ",Annually
1/1/1989," 2,952,994.00 ",Annually
1/1/1990," 3,364,820.00 ",Annually
1/1/1991," 3,801,698.00 ",Annually
1/1/1992," 4,177,009.00 ",Annually
1/1/1993," 4,535,687.00 ",Annually
1/1/1994," 4,800,150.00 ",Annually
1/1/1995," 4,988,665.00 ",Annually
1/1/1996," 5,323,172.00 ",Annually
1/1/1997," 5,502,388.00 ",Annually
1/1/1998," 5,614,217.00 ",Annually
1/1/1999," 5,776,091.00 ",Annually
1/1/2000," 5,662,216.00 ",Annually
1/1/2001," 5,943,439.00 ",Annually
1/1/2002," 6,405,707.00 ",Annually
1/1/2003," 6,997,964.00 ",Annually
1/1/2004," 7,596,143.00 ",Annually
1/1/2005," 8,170,413.00 ",Annually
1/1/2006," 8,680,224.00 ",Annually
1/1/2007," 9,229,172.00 ",Annually
1/1/2008," 10,699,805.00 ",Annually
1/1/2009," 12,311,349.00 ",Annually
1/1/2010," 14,025,215.00 ",Annually
1/1/2011," 15,222,940.00 ",Annually
1/1/2012," 16,432,730.00 ",Annually
1/1/2013," 17,156,119.00 ",Annually
1/1/2014," 18,141,444.00 ",Annually
1/1/2015," 18,922,179.00 ",Annually
1/1/2016," 19,976,827.00 ",Annually
1/1/2017," 20,492,747.00 ",Annually
1/1/2018," 21,974,096.00 ",Annually
1/1/2019," 23,201,380.00 ",Annually
1/1/2020," 27,747,798.00 ",Annually
1/1/2021," 29,617,215.00 ",Annually
1/1/2022," 31,419,689.00 ",Annually
1/1/2023," 34,001,494.00 ",Annually
1/1/2024," 36,218,605.00 ",Annually
1/1/1966," 320,999.00 ",Quarterly
4/1/1966," 316,097.00 ",Quarterly
7/1/1966," 324,748.00 ",Quarterly
10/1/1966," 329,319.00 ",Quarterly
1/1/1967," 330,947.00 ",Quarterly
4/1/1967," 322,893.00 ",Quarterly
7/1/1967," 335,896.00 ",Quarterly
10/1/1967," 344,663.00 ",Quarterly
1/1/1968," 349,473.00 ",Quarterly
4/1/1968," 345,369.00 ",Quarterly
7/1/1968," 354,743.00 ",Quarterly
10/1/1968," 358,029.00 ",Quarterly
1/1/1969," 359,546.00 ",Quarterly
4/1/1969," 352,895.00 ",Quarterly
7/1/1969," 360,685.00 ",Quarterly
10/1/1969," 368,226.00 ",Quarterly
1/1/1970," 372,007.00 ",Quarterly
4/1/1970," 370,094.00 ",Quarterly
7/1/1970," 378,678.00 ",Quarterly
10/1/1970," 389,158.00 ",Quarterly
1/1/1971," 391,668.00 ",Quarterly
4/1/1971," 397,305.00 ",Quarterly
7/1/1971," 412,268.00 ",Quarterly
10/1/1971," 424,131.00 ",Quarterly
1/1/1972," 427,344.00 ",Quarterly
4/1/1972," 426,435.00 ",Quarterly
7/1/1972," 433,946.00 ",Quarterly
10/1/1972," 448,473.00 ",Quarterly
1/1/1973," 458,606.00 ",Quarterly
4/1/1973," 457,317.00 ",Quarterly
7/1/1973," 460,614.00 ",Quarterly
10/1/1973," 469,073.00 ",Quarterly
1/1/1974," 473,675.00 ",Quarterly
4/1/1974," 474,235.00 ",Quarterly
7/1/1974," 481,466.00 ",Quarterly
10/1/1974," 492,664.00 ",Quarterly
1/1/1975," 509,659.00 ",Quarterly
4/1/1975," 533,188.00 ",Quarterly
7/1/1975," 553,647.00 ",Quarterly
10/1/1975," 576,649.00 ",Quarterly
1/1/1976," 600,490.00 ",Quarterly
4/1/1976," 620,432.00 ",Quarterly
7/1/1976," 634,701.00 ",Quarterly
10/1/1976," 653,543.00 ",Quarterly
1/1/1977," 669,207.00 ",Quarterly
4/1/1977," 674,425.00 ",Quarterly
7/1/1977," 698,840.00 ",Quarterly
10/1/1977," 718,943.00 ",Quarterly
1/1/1978," 737,951.00 ",Quarterly
4/1/1978," 749,024.00 ",Quarterly
7/1/1978," 771,544.00 ",Quarterly
10/1/1978," 789,207.00 ",Quarterly
1/1/1979," 796,792.00 ",Quarterly
4/1/1979," 804,913.00 ",Quarterly
7/1/1979," 826,519.00 ",Quarterly
10/1/1979," 845,116.00 ",Quarterly
1/1/1980," 863,451.00 ",Quarterly
4/1/1980," 877,614.00 ",Quarterly
7/1/1980," 907,701.00 ",Quarterly
10/1/1980," 930,210.00 ",Quarterly
1/1/1981," 964,531.00 ",Quarterly
4/1/1981," 971,174.00 ",Quarterly
7/1/1981," 997,855.00 ",Quarterly
10/1/1981," 1,028,729.00 ",Quarterly
1/1/1982," 1,061,299.00 ",Quarterly
4/1/1982," 1,079,630.00 ",Quarterly
7/1/1982," 1,142,035.00 ",Quarterly
10/1/1982," 1,197,074.00 ",Quarterly
