Country Name,Country Code,Indicator Name,Year,% Unemployment Female
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1991,8.322760925
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1992,8.411915509
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1993,8.376745831
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1994,8.264352365
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1995,8.135652102
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1996,8.149891828
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1997,8.177489508
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1998,8.257987612
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",1999,8.336820534
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2000,8.263339769
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2001,8.158765054
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2002,8.184690003
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2003,8.218430198
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2004,8.028499188
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2005,7.842541423
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2006,7.828401359
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2007,7.766430496
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2008,7.737868749
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2009,7.797077946
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2010,8.087223184
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2011,8.193389184
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2012,7.868223758
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2013,7.6062066
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2014,7.535392202
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2015,7.649694348
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2016,7.807887191
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2017,7.963077394
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2018,7.956384741
Africa Eastern and Southern,AFE,"Unemployment, female (% of female labor force) (modeled ILO estimate)",2019,8.17709642
