Country Name,Country Code,Indicator Name,Year,% Male Unemployment
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,8.055352383
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,8.147492983
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,8.170246624
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,8.027636531
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,7.706384668
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,7.531718747
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,7.429283309
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,7.411957863
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,7.410811333
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,7.359368772
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,7.241697866
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,7.13246271
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,7.014814273
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,6.821516604
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,6.652788457
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,6.5522555
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,6.5019378
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,6.480343359
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,6.578526231
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,6.789175778
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,6.739538366
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,6.566891876
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,6.433034792
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,6.423899403
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,6.494577195
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,6.655631297
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,6.806534481
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,6.842331225
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,7.071790235
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,7.622746909
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,7.887116051
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,7.262835258
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,7.092953504
Africa Eastern and Southern,AFE,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2024,7.098199862
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1991,7.554
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1992,7.498
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1993,7.382
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1994,7.322
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1995,7.322
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1996,7.375
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1997,7.377
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1998,7.409
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",1999,7.427
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2000,7.463
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2001,7.484
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2002,7.463
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2003,7.414
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2004,7.432
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2005,7.416
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2006,7.441
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2007,7.341
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2008,7.393
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2009,7.264
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2010,7.255
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2011,7.276
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2012,7.338
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2013,7.384
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2014,7.342
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2015,8.401
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2016,9.399
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2017,10.363
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2018,10.198
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2019,10.031
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2020,10.456
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2021,10.911
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2022,13.168
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",2023,13.066
