Country Name,Country Code,Indicator Name,Year,Value
Aruba,ABW,"Population, female (% of total population)",1960,50.84847602
Aruba,ABW,"Population, female (% of total population)",1961,50.83394807
Aruba,ABW,"Population, female (% of total population)",1962,50.83096591
Aruba,ABW,"Population, female (% of total population)",1963,50.83068718
Aruba,ABW,"Population, female (% of total population)",1964,50.82524862
Aruba,ABW,"Population, female (% of total population)",1965,50.82660251
Aruba,ABW,"Population, female (% of total population)",1966,50.83824582
Aruba,ABW,"Population, female (% of total population)",1967,50.84082048
Aruba,ABW,"Population, female (% of total population)",1968,50.83715655
Aruba,ABW,"Population, female (% of total population)",1969,50.83993768
Aruba,ABW,"Population, female (% of total population)",1970,50.84648007
Aruba,ABW,"Population, female (% of total population)",1971,50.86083702
Aruba,ABW,"Population, female (% of total population)",1972,50.88377621
Aruba,ABW,"Population, female (% of total population)",1973,50.91863517
Aruba,ABW,"Population, female (% of total population)",1974,50.95472539
Aruba,ABW,"Population, female (% of total population)",1975,50.98664737
Aruba,ABW,"Population, female (% of total population)",1976,51.03229913
Aruba,ABW,"Population, female (% of total population)",1977,51.09413104
Aruba,ABW,"Population, female (% of total population)",1978,51.152014
Aruba,ABW,"Population, female (% of total population)",1979,51.20926701
Aruba,ABW,"Population, female (% of total population)",1980,51.26291526
Aruba,ABW,"Population, female (% of total population)",1981,51.31128848
Aruba,ABW,"Population, female (% of total population)",1982,51.31917067
Aruba,ABW,"Population, female (% of total population)",1983,51.28851274
Aruba,ABW,"Population, female (% of total population)",1984,51.24940917
Aruba,ABW,"Population, female (% of total population)",1985,51.19223399
Aruba,ABW,"Population, female (% of total population)",1986,51.12382509
Aruba,ABW,"Population, female (% of total population)",1987,51.04087812
Aruba,ABW,"Population, female (% of total population)",1988,50.94772483
Aruba,ABW,"Population, female (% of total population)",1989,50.89842086
Aruba,ABW,"Population, female (% of total population)",1990,50.92887185
Aruba,ABW,"Population, female (% of total population)",1991,51.0481944
Aruba,ABW,"Population, female (% of total population)",1992,51.1651881
